epoch,psnr,ssim,lpips,psnr_y,ssim_y,train_loss
1,15.1848,0.2290,0.6189,nan,nan,0.489858
1,14.8832,0.2263,0.6022,nan,nan,0.488979
1,14.6575,0.2201,0.6115,nan,nan,0.487347
1,15.2959,0.2168,0.6248,nan,nan,0.486929
1,15.3248,0.2486,0.5958,nan,nan,0.486315
1,14.8313,0.2264,0.6257,nan,nan,0.485151
1,15.3824,0.2366,0.6194,nan,nan,0.487266
1,14.7906,0.2263,0.6074,nan,nan,0.486984
1,15.0121,0.2376,0.6173,nan,nan,0.487113
1,14.5695,0.2195,0.6185,nan,nan,0.488214
1,14.9289,0.2161,0.6142,nan,nan,0.490168
1,15.0077,0.2126,0.6421,nan,nan,0.489801
1,14.5178,0.2129,0.6322,nan,nan,0.492079
1,15.2981,0.2361,0.6072,nan,nan,0.492883
1,14.9206,0.2223,0.6251,nan,nan,0.491408
1,15.3567,0.2206,0.6351,nan,nan,0.490397
1,15.1146,0.2371,0.6296,nan,nan,0.492002
1,14.8363,0.2162,0.6286,nan,nan,0.493704
1,14.2332,0.2017,0.6236,nan,nan,0.494082
1,14.6966,0.2147,0.6539,nan,nan,0.493090
1,15.5532,0.2334,0.6335,nan,nan,0.494998
1,14.8199,0.2148,0.6227,nan,nan,0.493982
1,15.1894,0.2230,0.6247,nan,nan,0.492788
1,14.6270,0.2230,0.6416,nan,nan,0.491378
1,15.2776,0.2209,0.6319,nan,nan,0.491187
1,15.3769,0.2280,0.6085,nan,nan,0.490478
1,15.2705,0.2368,0.6209,nan,nan,0.488992
1,15.1686,0.2252,0.6360,nan,nan,0.488659
1,15.0589,0.2160,0.6333,nan,nan,0.489906
1,15.1418,0.2100,0.6196,nan,nan,0.488723
1,14.7656,0.2194,0.6385,nan,nan,0.490560
1,15.3420,0.2329,0.6372,nan,nan,0.491449
1,14.3956,0.2162,0.6387,nan,nan,0.492713
1,14.6128,0.2047,0.6299,nan,nan,0.494676
1,15.3378,0.2291,0.6339,nan,nan,0.493532
1,14.4899,0.2033,0.6551,nan,nan,0.493543
1,14.5693,0.2208,0.6399,nan,nan,0.492269
1,14.8270,0.2204,0.6567,nan,nan,0.493158
1,14.9419,0.2187,0.6437,nan,nan,0.491813
1,14.8320,0.2139,0.6196,nan,nan,0.490421
1,14.9908,0.2228,0.6525,nan,nan,0.491038
1,15.1430,0.2153,0.6403,nan,nan,0.489589
1,14.9491,0.2158,0.6410,nan,nan,0.489747
1,14.5015,0.2181,0.6214,nan,nan,0.491533
1,14.1370,0.2049,0.6504,nan,nan,0.490366
1,14.8656,0.2140,0.6299,nan,nan,0.488922
1,15.1848,0.2310,0.6378,nan,nan,0.487516
1,15.0840,0.2272,0.6376,nan,nan,0.488545
1,14.7874,0.2104,0.6602,nan,nan,0.487376
1,14.6348,0.2100,0.6535,nan,nan,0.489106
1,14.8929,0.2101,0.6582,nan,nan,0.489496
1,14.4938,0.2117,0.6426,nan,nan,0.488085
1,14.7453,0.2123,0.6390,nan,nan,0.487720
1,14.8952,0.2184,0.6375,nan,nan,0.486756
1,15.0280,0.2061,0.6549,nan,nan,0.488363
1,14.9308,0.2206,0.6595,nan,nan,0.487666
1,14.7755,0.2122,0.6307,nan,nan,0.488687
1,14.3133,0.2050,0.6519,nan,nan,0.489592
1,14.6076,0.2051,0.6525,nan,nan,0.488462
1,14.7117,0.2088,0.6360,nan,nan,0.489113
1,14.2927,0.2013,0.6703,nan,nan,0.489104
1,14.7564,0.2192,0.6410,nan,nan,0.489149
1,14.7064,0.2136,0.6645,nan,nan,0.487899
1,14.5917,0.2029,0.6630,nan,nan,0.487766
1,14.9645,0.2077,0.6681,nan,nan,0.487072
1,14.0370,0.1945,0.6592,nan,nan,0.486026
1,13.8728,0.1866,0.6830,nan,nan,0.487416
1,13.8737,0.1953,0.6599,nan,nan,0.486985
1,14.4901,0.2133,0.6570,nan,nan,0.486806
1,14.5772,0.1944,0.7027,nan,nan,0.487645
1,15.0679,0.2262,0.6790,nan,nan,0.487773
1,14.7060,0.2065,0.6760,nan,nan,0.486910
1,14.2727,0.2028,0.6435,nan,nan,0.486842
1,14.1696,0.1917,0.6702,nan,nan,0.487036
1,14.6828,0.2057,0.6536,nan,nan,0.488425
1,14.7894,0.2041,0.6589,nan,nan,0.489736
1,14.6468,0.2039,0.6585,nan,nan,0.490509
1,14.4030,0.2039,0.6554,nan,nan,0.490499
1,14.6689,0.2070,0.6770,nan,nan,0.491660
1,14.5953,0.2060,0.6783,nan,nan,0.492955
1,14.3541,0.1980,0.6766,nan,nan,0.493937
1,14.6372,0.1990,0.6727,nan,nan,0.493998
1,14.2666,0.1941,0.6486,nan,nan,0.493904
1,14.3276,0.2021,0.6781,nan,nan,0.493128
1,14.0251,0.1894,0.6571,nan,nan,0.494663
1,14.7218,0.2158,0.6673,nan,nan,0.496224
1,14.9792,0.2191,0.6658,nan,nan,0.497264
1,14.5569,0.2060,0.6595,nan,nan,0.496030
1,14.6668,0.2044,0.6626,nan,nan,0.496591
1,14.3555,0.2052,0.6602,nan,nan,0.495314
1,14.1870,0.1915,0.6960,nan,nan,0.496685
1,14.0654,0.1971,0.6612,nan,nan,0.495604
1,14.4893,0.1986,0.6970,nan,nan,0.495188
1,14.0939,0.1883,0.6554,nan,nan,0.494506
1,14.1102,0.1887,0.6784,nan,nan,0.493747
1,14.6534,0.2059,0.6608,nan,nan,0.493630
1,14.2555,0.1841,0.6647,nan,nan,0.493349
1,14.5004,0.2008,0.6667,nan,nan,0.492497
1,15.0686,0.2109,0.6801,nan,nan,0.493924
1,14.3573,0.2012,0.6773,nan,nan,0.495227
1,14.4968,0.2079,0.6531,nan,nan,0.496254
1,14.5936,0.2118,0.6305,nan,nan,0.497014
1,14.5782,0.2019,0.6747,nan,nan,0.497270
1,13.8246,0.1883,0.6859,nan,nan,0.498290
1,14.1720,0.2037,0.6724,nan,nan,0.498982
1,14.0942,0.1951,0.6661,nan,nan,0.497856
1,14.2243,0.1952,0.6839,nan,nan,0.498024
1,14.5269,0.2068,0.6659,nan,nan,0.498746
1,14.3091,0.1868,0.6825,nan,nan,0.498274
1,14.3314,0.1894,0.6748,nan,nan,0.498317
1,14.4214,0.1932,0.6622,nan,nan,0.498828
1,14.6192,0.2103,0.6667,nan,nan,0.497847
1,14.1976,0.1907,0.6731,nan,nan,0.497126
1,14.0719,0.1925,0.6793,nan,nan,0.497073
1,14.0708,0.1929,0.6819,nan,nan,0.498491
1,14.3725,0.1974,0.6939,nan,nan,0.498101
1,14.1070,0.1922,0.6846,nan,nan,0.498868
1,14.1935,0.1857,0.6705,nan,nan,0.499081
1,14.5625,0.2015,0.6862,nan,nan,0.499562
1,14.2659,0.1972,0.6790,nan,nan,0.499877
1,13.7938,0.1939,0.6861,nan,nan,0.498728
1,14.1620,0.1850,0.6967,nan,nan,0.497845
1,14.0928,0.1917,0.6778,nan,nan,0.498243
